Language,WordNet SSID,Wikidata QID,WordNet Definition,Wikidata Definition,Exact,Accept,Wikidata
"Turkish, Turkish language",https://en-word.net/id/oewn-06939575-n,https://www.wikidata.org/entity/Q256,a Turkic language spoken by the Turks,Oghuz Turkic language of the Turkish people,Exact,TRUE,
"Turkmen, Turkoman, Turcoman, Turkmen language, Turcoman language, Turkoman language",https://en-word.net/id/oewn-06939666-n,https://www.wikidata.org/entity/Q9267,the Turkic language spoken by the Turkoman,Oghuz Turkic language of Central Asia,Exact,TRUE,
"Azerbaijani, Azerbaijani language",https://en-word.net/id/oewn-06939784-n,https://www.wikidata.org/entity/Q9292,the Turkic language spoken by the Azerbaijani,Oghuz Turkic language,Exact,TRUE,
"Kazak, Kazakh, Kazakh language, Kazak language",https://en-word.net/id/oewn-06939905-n,https://www.wikidata.org/entity/Q9252,the Turkic language spoken by the Kazak,"one of the Turkic languages in Central Asia, the state language of Karakalpakstan",Exact,TRUE,
"Tatar, Tatar language",https://en-word.net/id/oewn-06940005-n,https://www.wikidata.org/entity/Q25285,the Turkic language spoken by the Tatar living from the Volga to the Ural Mountains,Turkic language spoken by Tatars,Exact,TRUE,
"Uzbek, Uzbeg, Uzbak, Usbek, Usbeg, Uzbek language, Uzbak language, Usbek language, Uzbeg language, Usbeg language",https://en-word.net/id/oewn-06940140-n,https://www.wikidata.org/entity/Q9264,the Turkic language spoken by the Uzbek,Turkic language,Exact,TRUE,
"Uighur, Uigur, Uygur, Uighur language, Uigur language, Uygur language",https://en-word.net/id/oewn-06940263-n,https://www.wikidata.org/entity/Q13263,"the Turkic language spoken by approximately 7,000,000 Uighur in extreme northwestern China",Turkic language spoken by the Uyghur people,Exact,TRUE,
"Yakut, Yakut language",https://en-word.net/id/oewn-06940422-n,https://www.wikidata.org/entity/Q34299,the Turkic language spoken by the Yakut,Turkic language belonging to Siberian Turkic branch,Exact,TRUE,
"Kirghiz, Kirgiz, Khirghiz, Kirgiz language, Kirghiz language, Khirghiz language",https://en-word.net/id/oewn-06940513-n,https://www.wikidata.org/entity/Q9255,the Turkic language spoken by the Kirghiz,Kipchak Turkic language of Central Asia,Exact,TRUE,
"Karakalpak, Karakalpak language",https://en-word.net/id/oewn-06940628-n,https://www.wikidata.org/entity/Q33541,the Turkic language spoken by the Karakalpak,"one of the Turkic languages in Central Asia, the state language of Karakalpakstan",Exact,TRUE,
"Chuvash, Chuvash language",https://en-word.net/id/oewn-06940729-n,https://www.wikidata.org/entity/Q33348,the Turkic language spoken by the Chuvash,"Turkic language spoken in central Russia, primarily in the Chuvash Republic and adjacent areas",Exact,TRUE,
"Chagatai, Jagatai, Jaghatai, Eastern Turki, Chagatai language, Jaghatai language, Jagatai language, Eastern Turki language",https://en-word.net/id/oewn-06940824-n,,a Turkic literary language of medieval central Asia (named for one of the sons of Genghis Khan),,None,FALSE,https://www.wikidata.org/wiki/Q36831
"Tungusic, Tungusic language",https://en-word.net/id/oewn-06941207-n,https://www.wikidata.org/entity/Q34230,a family of Altaic languages spoken in Mongolia and neighboring areas,language family,Exact,TRUE,
"Tungus, Tunguz, Evenki, Ewenki, Ewenki language, Evenki language, Tungus language, Tunguz language",https://en-word.net/id/oewn-06941387-n,https://www.wikidata.org/entity/Q30004,the Tungusic language of the Evenki in eastern Siberia,Tungusic language of eastern Russia and Manchuria,Exact,TRUE,
"Manchu, Manchu language",https://en-word.net/id/oewn-06941521-n,https://www.wikidata.org/entity/Q33638,the Tungusic language spoken by the Manchu,Tungusic language originating from Northeast China,Exact,TRUE,
"Mongolian, Mongolic, Mongolic language",https://en-word.net/id/oewn-06941616-n,https://www.wikidata.org/entity/Q33750,a family of Altaic language spoken in Mongolia,language family of Eurasia,Multiple,TRUE,
"Mongolian, Mongolic, Mongolic language",https://en-word.net/id/oewn-06941616-n,https://www.wikidata.org/entity/Q9246,a family of Altaic language spoken in Mongolia,official language of Mongolia,Multiple,FALSE,
"Khalkha, Khalka, Kalka, Kalka language, Khalkha language, Khalka language",https://en-word.net/id/oewn-06941785-n,https://www.wikidata.org/entity/Q6399808,the language of the Khalkha that is the official language of the Mongolian People's Republic,de facto standard dialect of Mongolian,Multiple,TRUE,
"Khalkha, Khalka, Kalka, Kalka language, Khalkha language, Khalka language",https://en-word.net/id/oewn-06941785-n,https://www.wikidata.org/entity/Q9246,the language of the Khalkha that is the official language of the Mongolian People's Republic,official language of Mongolia,Multiple,FALSE,
"Korean, Korean language",https://en-word.net/id/oewn-06941948-n,https://www.wikidata.org/entity/Q9176,the Altaic language spoken by Koreans,language spoken in Korean Peninsula and some parts of North-eastern China,Exact,TRUE,
"Japanese, Japanese language",https://en-word.net/id/oewn-06942056-n,https://www.wikidata.org/entity/Q5287,the language (usually considered to be Altaic) spoken by the Japanese,language spoken in East Asia,Exact,TRUE,
"Ryukyuan, Ryukyuan language",https://en-word.net/id/oewn-06942236-n,https://www.wikidata.org/entity/Q56393,the language (related to Japanese) that is spoken by the people of the Ryukyu Islands,language family,Exact,TRUE,
"Uralic, Uralic language",https://en-word.net/id/oewn-06968869-n,https://www.wikidata.org/entity/Q34113,a family of Ural-Altaic languages,language family prevalent in northern Eurasia,Exact,TRUE,
"Finno-Ugric, Finno-Ugrian",https://en-word.net/id/oewn-06969027-n,https://www.wikidata.org/entity/Q79890,a family of Uralic languages indigenous to Scandinavia and Hungary and Russia and western Siberia (prior to the Slavic expansion into those regions),language family,Exact,TRUE,
"Fennic, Finnic, Non-Ugric",https://en-word.net/id/oewn-06969284-n,https://www.wikidata.org/entity/Q33328,one of two branches of the Finno-Ugric languages; a family of languages including Finnish and Estonian (but not Hungarian),language family of north-eastern Europe,Exact,TRUE,
Permic,https://en-word.net/id/oewn-06969636-n,https://www.wikidata.org/entity/Q161493,a group of Finnic languages spoken in the northwest Urals,language family,Exact,TRUE,
"Udmurt, Votyak, Votyak language, Udmurt language",https://en-word.net/id/oewn-06969534-n,https://www.wikidata.org/entity/Q13238,the Finnic language spoken by the Votyak,Uralic language,Exact,TRUE,
"Komi, Zyrian, Zyrian language, Komi language",https://en-word.net/id/oewn-06969782-n,https://www.wikidata.org/entity/Q36126,the Finnic language spoken by the Komi,"Uralic language that is spoken on the Republic of Komi, Russia",Exact,TRUE,
Volgaic,https://en-word.net/id/oewn-06969880-n,https://www.wikidata.org/entity/Q900795,a group of Finnic languages spoken around the Volga river,obsolete subgroup of Finno-Volgaic which groups Mari and Mordvinic,Exact,TRUE,
"Cheremis, Cheremiss, Mari, Mari language, Cheremis language, Cheremiss language",https://en-word.net/id/oewn-06970027-n,https://www.wikidata.org/entity/Q6760941,the Finnic language spoken by the Cheremis,Austronesian language of Papua New Guinea,Multiple,FALSE,
"Cheremis, Cheremiss, Mari, Mari language, Cheremis language, Cheremiss language",https://en-word.net/id/oewn-06970027-n,https://www.wikidata.org/entity/Q6760942,the Finnic language spoken by the Cheremis,language,Multiple,FALSE,
"Cheremis, Cheremiss, Mari, Mari language, Cheremis language, Cheremiss language",https://en-word.net/id/oewn-06970027-n,https://www.wikidata.org/entity/Q973685,the Finnic language spoken by the Cheremis,Uralic language,Multiple,TRUE,
"Mordva, Mordvin, Mordvinian, Mordvinian language, Mordvin language, Mordva language",https://en-word.net/id/oewn-06970143-n,https://www.wikidata.org/entity/Q627313,the Finnic language spoken by the Mordvinians,language family,Exact,TRUE,
Baltic-Finnic,https://en-word.net/id/oewn-06970264-n,,a group of Finnic languages including Finnish and Estonian,,None,FALSE,no match
"Livonian, Livonian language",https://en-word.net/id/oewn-06970508-n,https://www.wikidata.org/entity/Q33698,the Finnic language spoken by the people of Livonia in Estonia and Latvia,Southern Finnic language closely related to Estonian,Exact,TRUE,
"Estonian, Esthonian",https://en-word.net/id/oewn-06970636-n,https://www.wikidata.org/entity/Q9072,the official language of Estonia; belongs to the Baltic-Finnic family of languages,Finno-Ugric language,Exact,TRUE,
"Karelian, Carelian, Carelian language, Karelian language",https://en-word.net/id/oewn-06970803-n,https://www.wikidata.org/entity/Q33557,a Finnic language spoken by the people of Karelia,Finnic language,Exact,TRUE,
"Ludian, Ludian language",https://en-word.net/id/oewn-06970918-n,https://www.wikidata.org/entity/Q33918,a Baltic-Finnic language,language,Exact,TRUE,
"Finnish, Suomi",https://en-word.net/id/oewn-06970995-n,https://www.wikidata.org/entity/Q1412,the official language of Finland; belongs to the Baltic Finnic family of languages,Finno-Ugric language mostly spoken in Finland,Exact,TRUE,
"Veps, Vepse, Vepsian, Vepsian language, Vepse language, Veps language",https://en-word.net/id/oewn-06971157-n,https://www.wikidata.org/entity/Q32747,a Finnic language spoken by the Veps,Finnic language native to Northwest Russia,Exact,TRUE,
"Ingrian, Ingrian language",https://en-word.net/id/oewn-06971262-n,https://www.wikidata.org/entity/Q33559,a Finnic language spoken by the Ingrian,"Finnic language spoken by the Izhorians of Ingria, Russia",Exact,TRUE,
"Ugric, Ugrian",https://en-word.net/id/oewn-06971355-n,https://www.wikidata.org/entity/Q156631,one of the two branches of the Finno-Ugric family of languages; spoken in Hungary and northwestern Siberia,proposed branch of the Uralic language family,Exact,TRUE,
"Hungarian, Magyar",https://en-word.net/id/oewn-06971576-n,https://www.wikidata.org/entity/Q9067,the official language of Hungary (also spoken in Rumania); belongs to the Ugric family of languages,Uralic language,Exact,TRUE,
"Khanty, Ostyak, Ostyak language, Khanty language",https://en-word.net/id/oewn-06971758-n,https://www.wikidata.org/entity/Q33563,a Ugric language (related to Hungarian) spoken by the Ostyak,Uralic family of languages spoken in Russia,Exact,TRUE,
"Mansi, Vogul, Mansi language, Vogul language",https://en-word.net/id/oewn-06971880-n,https://www.wikidata.org/entity/Q33759,the Ugric language (related to Hungarian) spoken by the Vogul,Uralic language spoken in Russia,Exact,TRUE,
"Lappic, Lappish, Lappic language, Lappish language",https://en-word.net/id/oewn-06972001-n,https://www.wikidata.org/entity/Q56463,any of the languages spoken by the Lapps and generally assumed to be Uralic languages,group of Uralic languages spoken by the Sámi people in northern Europe,Exact,TRUE,
"Lapp, Sami, Saami, Same, Saame, Saame language, Sami language, Saami language, Lapp language, Same language",https://en-word.net/id/oewn-06972167-n,https://www.wikidata.org/entity/Q56463,the language of nomadic Lapps in northern Scandinavia and the Kola Peninsula,group of Uralic languages spoken by the Sámi people in northern Europe,Exact,TRUE,
"Samoyedic, Samoyed, Samoyed language, Samoyedic language",https://en-word.net/id/oewn-06972324-n,https://www.wikidata.org/entity/Q34005,the Uralic languages spoken by the Samoyed in northwestern Siberia,language family spoken around the Ural Mountains,Exact,TRUE,
"Nenets, Nentsi, Nentsy, Yurak-Samoyed, Yurak-Samoyed language, Nentsy language, Nenets language, Nentsi language",https://en-word.net/id/oewn-06972528-n,https://www.wikidata.org/entity/Q36452,a Uralic language spoken by a Samoyed of northern Siberia,Samoyedic pair of languages,Exact,TRUE,
"Enets, Entsi, Entsy, Yenisei, Yenisei-Samoyed, Yeniseian, Entsi language, Yenisei-Samoyed language, Yenisei language, Enets language, Entsy language, Yeniseian language",https://en-word.net/id/oewn-06972672-n,https://www.wikidata.org/entity/Q29942,the Uralic language spoken by the Yeniseian,"Samoyedic language spoken by the Enets people in Krasnoyarsk Krai, Russia",Multiple,TRUE,
"Enets, Entsi, Entsy, Yenisei, Yenisei-Samoyed, Yeniseian, Entsi language, Yenisei-Samoyed language, Yenisei language, Enets language, Entsy language, Yeniseian language",https://en-word.net/id/oewn-06972672-n,https://www.wikidata.org/entity/Q27639,the Uralic language spoken by the Yeniseian,language family of Siberia,Multiple,FALSE,
"Nganasan, Nganasan language",https://en-word.net/id/oewn-06972823-n,https://www.wikidata.org/entity/Q36743,the Uralic language spoken by the Nganasan,language,Exact,TRUE,
"Selkup, Ostyak-Samoyed, Ostyak-Samoyed language, Selkup language",https://en-word.net/id/oewn-06972920-n,https://www.wikidata.org/entity/Q34008,the Uralic language spoken by the Ostyak-Samoyed,a branch of Samoyed languages,Exact,TRUE,
"Basque, Basque language",https://en-word.net/id/oewn-06979369-n,https://www.wikidata.org/entity/Q8752,the language of the Basque people; of no known relation to any other language,language of the Basque people,Exact,TRUE,
"Elamitic, Elamite, Susian, Susian language, Elamite language, Elamitic language",https://en-word.net/id/oewn-06981128-n,https://www.wikidata.org/entity/Q35470,an extinct ancient language of unknown affinities; spoken by the Elamites,ancient language in Mesopotamia,Multiple,TRUE,
"Elamitic, Elamite, Susian, Susian language, Elamite language, Elamitic language",https://en-word.net/id/oewn-06981128-n,https://www.wikidata.org/entity/Q5957720,an extinct ancient language of unknown affinities; spoken by the Elamites,the final stage of the Elamite language,Multiple,FALSE,
